SizeRank,County,Year,Value,Impact
1560,West Baton Rouge Parish,2012,258599.07604728345,Unaffected
1661,Plaquemines Parish,2012,418133.84949519584,Affected
1725,Pointe Coupee Parish,2012,310854.11196285614,Unaffected
2071,West Feliciana Parish,2012,369603.2643231095,Unaffected
158,East Baton Rouge Parish,2012,325359.6301732623,Unaffected
160,Jefferson Parish,2012,307729.3609153549,Affected
178,Orleans Parish,2012,384641.9741805099,Affected
274,Caddo Parish,2012,253491.48333580143,Unaffected
462,Livingston Parish,2012,245474.44529473767,Unaffected
1041,Washington Parish,2012,195033.16278299957,Affected
1360,Iberville Parish,2012,243928.97859700164,Unaffected
1560,West Baton Rouge Parish,2012,259243.86594597416,Unaffected
1661,Plaquemines Parish,2012,418813.5843009834,Affected
1725,Pointe Coupee Parish,2012,311459.44793417945,Unaffected
2071,West Feliciana Parish,2012,370054.1663501659,Unaffected
158,East Baton Rouge Parish,2012,326420.3771919127,Unaffected
160,Jefferson Parish,2012,307697.797773461,Affected
178,Orleans Parish,2012,385817.7012160597,Affected
274,Caddo Parish,2012,253193.8879979442,Unaffected
462,Livingston Parish,2012,245051.72464437224,Unaffected
1041,Washington Parish,2012,195325.12184551865,Affected
1360,Iberville Parish,2012,244588.4228115717,Unaffected
1560,West Baton Rouge Parish,2012,259212.30280408025,Unaffected
1661,Plaquemines Parish,2012,419288.1586844604,Affected
1725,Pointe Coupee Parish,2012,311645.4450203402,Unaffected
2071,West Feliciana Parish,2012,368530.1174987151,Unaffected
158,East Baton Rouge Parish,2012,326926.51471728354,Unaffected
160,Jefferson Parish,2012,307591.8357971027,Affected
178,Orleans Parish,2012,390370.68443426216,Affected
274,Caddo Parish,2012,252513.0259370889,Unaffected
462,Livingston Parish,2012,245503.7539264963,Unaffected
1041,Washington Parish,2012,195252.9775211896,Affected
1360,Iberville Parish,2012,245431.60960216727,Unaffected
1560,West Baton Rouge Parish,2012,259084.9229814368,Unaffected
1661,Plaquemines Parish,2012,418769.6213533455,Affected
1725,Pointe Coupee Parish,2012,311826.9330862305,Unaffected
2071,West Feliciana Parish,2012,366737.7819411657,Unaffected
158,East Baton Rouge Parish,2012,325567.0451057084,Unaffected
160,Jefferson Parish,2012,307131.91572950507,Affected
178,Orleans Parish,2012,394844.7597977298,Affected
274,Caddo Parish,2012,251348.57145221563,Unaffected
462,Livingston Parish,2012,247069.51121544983,Unaffected
1041,Washington Parish,2012,195582.1360009408,Affected
1360,Iberville Parish,2012,246062.87244004637,Unaffected
1560,West Baton Rouge Parish,2012,259637.27796458092,Unaffected
1661,Plaquemines Parish,2012,418747.0762519926,Affected
1725,Pointe Coupee Parish,2012,312666.7381116231,Unaffected
2071,West Feliciana Parish,2012,366745.6727266392,Unaffected
158,East Baton Rouge Parish,2012,323638.3116849743,Unaffected
160,Jefferson Parish,2012,308010.0474271976,Affected
178,Orleans Parish,2012,397307.8121205258,Affected
274,Caddo Parish,2012,249654.30708555103,Unaffected
462,Livingston Parish,2012,248706.2855736648,Unaffected
1041,Washington Parish,2012,195562.9726647909,Affected
1360,Iberville Parish,2012,246627.62722893452,Unaffected
1560,West Baton Rouge Parish,2012,260503.00985652933,Unaffected
1661,Plaquemines Parish,2012,418336.75540737127,Affected
1725,Pointe Coupee Parish,2012,313952.9361438016,Unaffected
2071,West Feliciana Parish,2012,367830.09210171,Unaffected
158,East Baton Rouge Parish,2013,317829.6890842516,Unaffected
160,Jefferson Parish,2013,303636.89588636527,Affected
178,Orleans Parish,2013,392993.1664856604,Affected
274,Caddo Parish,2013,245051.48972557168,Unaffected
462,Livingston Parish,2013,247154.57837712535,Unaffected
1041,Washington Parish,2013,193040.87418278903,Affected
1360,Iberville Parish,2013,243202.8159188176,Unaffected
1560,West Baton Rouge Parish,2013,257542.25872156664,Unaffected
1661,Plaquemines Parish,2013,412779.7533235747,Affected
1725,Pointe Coupee Parish,2013,311000.4836214408,Unaffected
2071,West Feliciana Parish,2013,364239.8450958761,Unaffected
158,East Baton Rouge Parish,2013,318684.0341307623,Unaffected
160,Jefferson Parish,2013,304664.5541022592,Affected
178,Orleans Parish,2013,394321.9007842649,Affected
274,Caddo Parish,2013,244360.45901174893,Unaffected
462,Livingston Parish,2013,249428.75823435225,Unaffected
1041,Washington Parish,2013,192838.67548517536,Affected
1360,Iberville Parish,2013,243162.82057203687,Unaffected
1560,West Baton Rouge Parish,2013,257682.2424352992,Unaffected
1661,Plaquemines Parish,2013,412938.62372884265,Affected
