,SizeRank,County,Year,Value
295,1725,Pointe Coupee Parish,2002,156322.4194552529
296,2071,West Feliciana Parish,2002,213427.7853837009
297,158,East Baton Rouge Parish,2002,112225.2834241245
298,160,Jefferson Parish,2002,150806.6808560311
299,178,Orleans Parish,2002,134747.163385214
300,274,Caddo Parish,2002,138370.3666922994
301,462,Livingston Parish,2002,154279.55330739298
302,1041,Washington Parish,2002,155257.82723735407
303,1360,Iberville Parish,2002,171526.47973354516
304,1560,West Baton Rouge Parish,2002,185910.21260181928
305,1661,Plaquemines Parish,2002,155876.44163424123
306,1725,Pointe Coupee Parish,2002,156322.4194552529
307,2071,West Feliciana Parish,2002,213427.7853837009
308,158,East Baton Rouge Parish,2002,115069.47101167311
309,160,Jefferson Parish,2002,151456.94529182877
310,178,Orleans Parish,2002,135542.73027237353
311,274,Caddo Parish,2002,138370.3666922994
312,462,Livingston Parish,2002,154279.55330739298
313,1041,Washington Parish,2002,155257.82723735407
314,1360,Iberville Parish,2002,171526.47973354516
315,1560,West Baton Rouge Parish,2002,185910.21260181928
316,1661,Plaquemines Parish,2002,155818.89610894938
317,1725,Pointe Coupee Parish,2002,156322.4194552529
318,2071,West Feliciana Parish,2002,213427.7853837009
319,158,East Baton Rouge Parish,2002,115322.6713229572
320,160,Jefferson Parish,2002,152802.07194552527
321,178,Orleans Parish,2002,136503.74054474707
322,274,Caddo Parish,2002,138370.3666922994
323,462,Livingston Parish,2002,154279.55330739298
324,1041,Washington Parish,2002,155257.82723735407
325,1360,Iberville Parish,2002,171526.47973354516
326,1560,West Baton Rouge Parish,2002,185910.21260181928
327,1661,Plaquemines Parish,2002,155736.89373540855
328,1725,Pointe Coupee Parish,2002,156322.4194552529
329,2071,West Feliciana Parish,2002,213427.7853837009
330,158,East Baton Rouge Parish,2002,116837.55727626458
331,160,Jefferson Parish,2002,154358.67840466925
332,178,Orleans Parish,2002,137772.6193774319
333,274,Caddo Parish,2002,138370.3666922994
334,462,Livingston Parish,2002,154279.55330739298
335,1041,Washington Parish,2002,155257.82723735407
336,1360,Iberville Parish,2002,171526.47973354516
337,1560,West Baton Rouge Parish,2002,185910.21260181928
338,1661,Plaquemines Parish,2002,156427.44003891048
339,1725,Pointe Coupee Parish,2002,156322.4194552529
340,2071,West Feliciana Parish,2002,213427.7853837009
341,158,East Baton Rouge Parish,2002,115339.93498054474
342,160,Jefferson Parish,2002,155582.95945525292
343,178,Orleans Parish,2002,139310.52354085603
344,274,Caddo Parish,2002,138370.3666922994
345,462,Livingston Parish,2002,154279.55330739298
346,1041,Washington Parish,2002,155257.82723735407
347,1360,Iberville Parish,2002,171526.47973354516
348,1560,West Baton Rouge Parish,2002,185910.21260181928
349,1661,Plaquemines Parish,2002,156631.72665369647
350,1725,Pointe Coupee Parish,2002,156322.4194552529
351,2071,West Feliciana Parish,2002,213427.7853837009
352,158,East Baton Rouge Parish,2002,114742.900155642
353,160,Jefferson Parish,2002,156192.9420233463
354,178,Orleans Parish,2002,140508.90910505835
355,274,Caddo Parish,2002,138370.3666922994
356,462,Livingston Parish,2002,154279.55330739298
357,1041,Washington Parish,2002,155257.82723735407
358,1360,Iberville Parish,2002,171526.47973354516
359,1560,West Baton Rouge Parish,2002,185910.21260181928
360,1661,Plaquemines Parish,2002,158487.56984435796
361,1725,Pointe Coupee Parish,2002,156322.4194552529
362,2071,West Feliciana Parish,2002,213427.7853837009
363,158,East Baton Rouge Parish,2002,113963.15828793774
364,160,Jefferson Parish,2002,156948.22704280153
365,178,Orleans Parish,2002,141894.31762645912
366,274,Caddo Parish,2002,138370.3666922994
367,462,Livingston Parish,2002,154279.55330739298
368,1041,Washington Parish,2002,155257.82723735407
369,1360,Iberville Parish,2002,171526.47973354516
370,1560,West Baton Rouge Parish,2002,185910.21260181928
371,1661,Plaquemines Parish,2002,159560.79389105056
372,1725,Pointe Coupee Parish,2002,156322.4194552529
373,2071,West Feliciana Parish,2002,213427.7853837009
374,158,East Baton Rouge Parish,2002,114436.470233463
375,160,Jefferson Parish,2002,157666.1074708171
376,178,Orleans Parish,2002,142538.82750972762
377,274,Caddo Parish,2002,138370.3666922994
378,462,Livingston Parish,2002,154279.55330739298
379,1041,Washington Parish,2002,155257.82723735407
380,1360,Iberville Parish,2002,171526.47973354516
381,1560,West Baton Rouge Parish,2002,185910.21260181928
382,1661,Plaquemines Parish,2002,161126.03217898833
383,1725,Pointe Coupee Parish,2002,156322.4194552529
384,2071,West Feliciana Parish,2002,213427.7853837009
385,158,East Baton Rouge Parish,2002,114875.2548638132
386,160,Jefferson Parish,2002,158476.06073929957
387,178,Orleans Parish,2002,143202.03968871594
388,274,Caddo Parish,2002,138370.3666922994
389,462,Livingston Parish,2002,154279.55330739298
390,1041,Washington Parish,2002,155257.82723735407
391,1360,Iberville Parish,2002,171526.47973354516
392,1560,West Baton Rouge Parish,2002,185910.21260181928
